problem,solver,settings,runtime,found,primal_residual,dual_residual,duality_gap
CVXQP1_S,piqp,low_accuracy,0.0025994930001616012,True,5.897504706808832e-13,2.244167916387596e-06,3.877232160220956e-05
CVXQP1_S,piqp,mid_accuracy,0.002691363999474561,True,1.0658141036401503e-14,2.2441952296503587e-08,3.877831886711647e-07
CVXQP1_S,proxqp,default,0.002328450000277371,True,2.1011480180743725e-08,7.607006580201414e-09,5.113532154155109e-06
CVXQP1_S,proxqp,high_accuracy,0.0053543470003205584,True,1.5001888620247428e-14,7.958078640513122e-13,3.353761712787673e-12
CVXQP1_S,proxqp,low_accuracy,0.005246671000350034,True,2.1011480180743725e-08,7.607006580201414e-09,5.113532154155109e-06
CVXQP1_S,proxqp,mid_accuracy,0.0052884939996147295,True,1.539315896970095e-11,2.0463630789890885e-12,3.729553554876475e-09
CVXQP1_S,qpalm,default,0.002406912000878947,True,0.0003526437880427835,2.8838158452072903e-09,0.02599396839815817
CVXQP1_S,qpalm,high_accuracy,0.0030255429992394056,True,5.0012924357467625e-11,8.86529954550347e-10,2.7215026715562848e-09
CVXQP1_S,qpalm,low_accuracy,0.002389637000305811,True,0.0003441015395946323,2.8696724920519855e-09,0.018157270956795552
CVXQP1_S,qpalm,mid_accuracy,0.0026935340010822983,True,2.0628843103165373e-07,9.198402109351016e-10,7.866074280475368e-06
CVXQP1_S,qpoases,default,0.0016531850014871452,False,inf,inf,inf
CVXQP1_S,qpoases,high_accuracy,0.0009263030005968176,False,inf,inf,inf
CVXQP1_S,qpoases,low_accuracy,0.0022660739996354096,False,inf,inf,inf
CVXQP1_S,qpoases,mid_accuracy,0.0007965240001794882,False,inf,inf,inf
CVXQP1_S,quadprog,default,0.0007526989993493771,False,inf,inf,inf
CVXQP1_S,quadprog,high_accuracy,0.00045931999920867383,False,inf,inf,inf
CVXQP1_S,quadprog,low_accuracy,0.0004227600002195686,False,inf,inf,inf
CVXQP1_S,quadprog,mid_accuracy,0.00042069000119226985,False,inf,inf,inf
CVXQP1_S,scs,default,0.006277700000282493,True,6.920271111710008e-08,0.07464637847249378,0.010692098264390148
CVXQP1_S,scs,high_accuracy,0.010463988999617868,True,7.313594174718219e-15,1.787157088983804e-10,9.549207049762125e-13
CVXQP1_S,scs,low_accuracy,0.00756937400001334,True,4.561170124928182e-08,0.0005426420918297481,1.4954389616514584e-05
CVXQP1_S,scs,mid_accuracy,0.00871892699979071,True,1.9999549238924885e-10,1.3367554174692486e-07,1.9922821992089064e-10
CVXQP2_S,clarabel,default,0.0029348209991439944,True,1.2310152897043736e-12,2.379256971088016e-11,1.2368875559332082e-06
